county_desc	Precinct_desc	county_id	precinct_label	pp_name	pp_house_num	pp_half_code	pp_street_dir	pp_street_name	pp_street_type	pp_street_sufx	pp_city_cd	pp_state_cd	pp_zip_code
ALAMANCE	BOONE 5                                                     	1	035   	PEOPLES MEMORIAL CHRISTIAN CHURCH	247	 	N 	NC HWY 87                          	 	    	BURLINGTON                                                  	NC	27217    
ALAMANCE	CENTRAL BOONE                                               	1	03C   	HOLLY HILL BAPTIST CHURCH	2818	 	  	EDGEWOOD                           	AVE	    	BURLINGTON                                                  	NC	27215    
ALAMANCE	WEST BOONE-SAT                                              	1	03WS  	TWIN LAKES CENTER	200	 	  	WADE COBLE                         	DR	    	BURLINGTON                                                  	NC	27215    
ALAMANCE	FAUCETTE                                                    	1	05    	FAUCETTE FIRE STATION	2164	 	  	CAROLINA                           	RD	    	BURLINGTON                                                  	NC	27217    
ALAMANCE	GRAHAM 4                                                    	1	064   	FELLOWSHIP BAPTIST CHURCH	2744	 	  	MAPLE                              	AVE	    	BURLINGTON                                                  	NC	27215    
ALAMANCE	PATTERSON                                                   	1	01    	SYLVAN ELEMENTARY SCHOOL	7718	 	  	SYLVAN                             	RD	    	SNOW CAMP                                                   	NC	27349    
ALAMANCE	COBLE                                                       	1	02    	ALAMANCE CIVITAN CLUB HOUSE	3328	 	  	DOCTOR PICKETT                     	RD	    	BURLINGTON                                                  	NC	27215    
ALAMANCE	NORTH GRAHAM                                                	1	06N   	GRAHAM RECREATION CENTER	311	 	  	COLEGE                             	ST	    	GRAHAM                                                      	NC	27253    
ALAMANCE	NORTH BOONE                                                 	1	03N   	ELON COLLEGE FIRE STATION	219	 	S 	WILLIAMSON                         	AVE	    	ELON                                                        	NC	27244    
ALAMANCE	SOUTH BOONE                                                 	1	03S   	SMITH ELEMENTARY SCHOOL	2235	 	  	DELANEY                            	DR	    	BURLINGTON                                                  	NC	27215    
ALAMANCE	WEST BOONE                                                  	1	03W   	CHURCH OF GOD	1101	 	  	JOYNER                             	ST	    	GIBSONVILLE                                                 	NC	27249    
ALAMANCE	MORTON                                                      	1	04    	ALTAMAHAW OSSIPPEE COMM CENTER	3211	 	  	OSCEOLA                            	RD	    	ELON                                                        	NC	27244    
ALAMANCE	GRAHAM 3                                                    	1	063   	R HOMER ANDREWS ELEMENTARY SCHOOL	2630	 	  	BUCKINGHAM                         	RD	    	BURLINGTON                                                  	NC	27217    
ALAMANCE	EAST GRAHAM                                                 	1	06E   	GRAHAM MIDDLE SCHOOL	311	 	E 	PINE                               	ST	    	GRAHAM                                                      	NC	27253    
ALAMANCE	SOUTH GRAHAM                                                	1	06S   	BETHANY PRESBYTERIAN CHURCH	1500	 	S 	MAIN                               	ST	    	GRAHAM                                                      	NC	27253    
ALAMANCE	NORTH NEWLIN                                                	1	08N   	ELI WHITNEY RECREATION CENTER	4110	 	E 	GREENSBORO CHAPEL HILL             	RD	    	GRAHAM                                                      	NC	27253    
ALAMANCE	SOUTH THOMPSON                                              	1	09S   	SALEM UNITED METHODIST CHURCH	4924	 	  	SALEM CHURCH                       	RD	    	GRAHAM                                                      	NC	27253    
ALAMANCE	MELVILLE 3                                                  	1	103   	AUDREY GARRETT ELEMENTARY SCHOOL	3224	 	  	OLD HILLSBOROUGH                   	RD	    	MEBANE                                                      	NC	27302    
ALAMANCE	BURLINGTON 10                                               	1	1210  	ST JOHNS NEW MISSION UCC	1908	 	S 	MEBANE                             	ST	    	BURLINGTON                                                  	NC	27215    
